open_time,open,high,low,close,volume
2025-07-12 16:00:00,681.3,685.32,680.04,684.13,21201.22
2025-07-12 17:00:00,684.12,686.78,683.99,686.57,12041.06
2025-07-12 18:00:00,686.56,686.72,684.82,686.23,7485.73
2025-07-12 19:00:00,686.24,686.3,684.06,684.83,5442.18
2025-07-12 20:00:00,684.82,684.9,680.92,680.93,9352.22
2025-07-12 21:00:00,680.93,684.25,680.4,684.24,8988.01
2025-07-12 22:00:00,684.25,685.17,682.36,685.16,6519.09
2025-07-12 23:00:00,685.16,686.52,684.54,686.1,6337.82
2025-07-13 00:00:00,686.1,687.61,685.3,687.27,7534.28
2025-07-13 01:00:00,687.28,687.86,686.41,687.61,5403.38
2025-07-13 02:00:00,687.6,688.06,685.88,687.82,6919.67
2025-07-13 03:00:00,687.81,687.98,686.68,687.08,6470.9
2025-07-13 04:00:00,687.08,687.94,686.99,687.88,6651.37
2025-07-13 05:00:00,687.88,689.04,687.64,688.53,9438.75
2025-07-13 06:00:00,688.53,690.42,688.32,689.42,8238.79
2025-07-13 07:00:00,689.42,690.44,688.68,690.43,6335.4
2025-07-13 08:00:00,690.44,691.09,689.78,690.34,11155.64
2025-07-13 09:00:00,690.34,690.54,688.32,689.0,7637.28
2025-07-13 10:00:00,688.99,690.82,688.99,690.33,7492.81
2025-07-13 11:00:00,690.32,691.62,689.41,691.47,12291.15
2025-07-13 12:00:00,691.47,693.4,691.43,692.25,21724.44
2025-07-13 13:00:00,692.26,692.76,691.21,692.34,12463.07
2025-07-13 14:00:00,692.34,694.47,691.1,692.1,33011.2
2025-07-13 15:00:00,692.11,693.86,690.07,691.56,15044.72
2025-07-13 16:00:00,691.57,692.59,688.83,689.0,13498.57
2025-07-13 17:00:00,689.0,691.29,688.33,690.88,9823.44
2025-07-13 18:00:00,690.88,692.3,690.3,692.1,8029.83
2025-07-13 19:00:00,692.11,693.86,691.68,691.97,10615.79
2025-07-13 20:00:00,691.96,693.53,691.15,692.9,5673.01
2025-07-13 21:00:00,692.9,693.28,688.29,691.91,13318.08
2025-07-13 22:00:00,691.91,692.79,689.65,690.62,11378.63
2025-07-13 23:00:00,690.62,692.73,690.33,692.33,6019.57
2025-07-14 00:00:00,692.33,694.5,690.58,691.53,16316.37
2025-07-14 01:00:00,691.53,692.12,690.2,690.49,11136.46
2025-07-14 02:00:00,690.49,694.71,690.24,692.88,17185.72
2025-07-14 03:00:00,692.87,700.0,692.57,697.61,51918.56
2025-07-14 04:00:00,697.62,700.37,697.06,699.69,33454.57
2025-07-14 05:00:00,699.68,703.75,692.9,697.95,85454.48
2025-07-14 06:00:00,697.95,699.4,696.3,697.73,19599.82
2025-07-14 07:00:00,697.73,708.0,697.7,706.86,74004.59
2025-07-14 08:00:00,706.87,707.19,703.33,704.89,36568.1
2025-07-14 09:00:00,704.89,706.66,704.19,704.8,26911.85
2025-07-14 10:00:00,704.79,706.88,701.0,706.16,39185.84
2025-07-14 11:00:00,706.15,706.16,703.16,704.88,17338.17
2025-07-14 12:00:00,704.87,705.67,703.44,704.43,13664.97
